author,published_at,like_count,text,is_reply
@cdk18818,2025-08-18T14:45:03Z,0,다 발골해서 허위사실 협박으로 처벌 해야지 빨리 수사 해라,False
@Futer-y8h,2025-08-18T14:43:03Z,0,감투에.. 완장 차면. 이상하게 변한다더니.. 아니. 원래 그런 사람이였을 수도..,False
@이상훈-f4d1p,2025-08-18T14:42:58Z,0,성지호 판사 또 이사람이네 드러온곳에 안끼는곳이 없구나,False
@홍익인간-w3l,2025-08-18T14:42:41Z,0,자~~~~ 이젠 윤석열이 MBC를 어디에다 팔아먹으려한 것인지 수사해야지요. <br>윤석열은 MBC 팔아먹을 결심을 하지않고서는 모든 뉴스방송사들은 놔두고  저렇게 콕 찍어 MBC를 노렸을 리가 없습니다.,False
@Futer-y8h,2025-08-18T14:41:34Z,0,본인이 한 말에 책임도 안지느느무책임하고 무능한자가. 나라를 망쳤네요.,False
@미쉘의쉬운수학,2025-08-18T14:41:12Z,0,진상을 밝히라고? ㅁㅊ 서겨라 니가 진상이야 ㅇㄴㅇ,False
@신은경-d3c,2025-08-18T14:40:33Z,0,윤석열이 정권은 정말 무법천지네요...!!,False
@바비-u7p,2025-08-18T14:40:15Z,0,햐여튼  일제 부터   나라  망치는데  조선일보가  빠지면  안되지..이참에   조선일보  폐간 해라,False
@범규박-x3r,2025-08-18T14:39:03Z,0,너네는 내가 찍었으니까 뒈져야지?,False
@바비-u7p,2025-08-18T14:38:49Z,0,훼손같은소리하네.....빤스  줄리한테  손해배상청구  합시다,False
@부동산스터디-g6x,2025-08-18T14:33:50Z,0,김정은보다 더악질,False
@BNE1005,2025-08-18T14:31:08Z,0,사실과 다른 보도? ㅎㅎㅎ,False
@jjk7482,2025-08-18T14:29:14Z,0,진짜 엠비씨는 잘못된 세상과 싸울줄 아는 진짜 언론이다<br>참 안쓰럽고 고맙고 그르네,False
@KS-lw3ku,2025-08-18T14:24:51Z,0,민주주의를 위해 조기 사형,False
@user-vc1uw3uy4w,2025-08-18T14:24:04Z,0,강훈-낮짝에 뻔뻔함과 무식함이 그대로..최태형-저런게 법률인.. 김은혜-모든걸 알면서 뻔뻔하게 거짓말. 2차 재판 무죄나오면 이 인간들에게 520억 손해배상 물려서 디지게 만들어야 한다.,False
@mhy7603,2025-08-18T14:23:59Z,0,아이고 왜 거니랑 결혼했나 싶었더니 결국 혼신의 구라가 통했던 모양이군. 구라 구라 구라,False
@권희철-b1i,2025-08-18T14:23:50Z,0,지록위마의 현대팜,False
@HJ-zl8hs,2025-08-18T14:23:12Z,0,분조장이었네 내란수괴,False
@권희철-b1i,2025-08-18T14:23:08Z,0,ㅅㅅ,False
@쿠가-c5u,2025-08-18T14:19:51Z,0,하남자 이런 인간이 대한민국을 좌지우지하고 우린 당했고 ㅜ.ㅜ,False
@김명선-b1r,2025-08-18T14:17:30Z,0,멍멍이 판사 파면해라......,False
@Hyunwook,2025-08-18T14:10:18Z,0,미국 가서 카메라 앞에서 욕은 지가 해놓고 진짜 개슥기도 저런 개슥기가 또 있을까 싶네,False
@aspelled,2025-08-18T14:09:36Z,0,깡패 조직 정부 였지,False
@boganjung,2025-08-18T14:06:29Z,0,정말 상식과 기본기라곤 찾아볼 수 없는,False
@세라정-t6c,2025-08-18T14:06:29Z,0,윤석열 정부ㅡ 국힘 ㅡ 정말 한편의 드라마를 본것같음,False
@js675,2025-08-18T14:06:22Z,0,판사 경질 제도를 빨리 만들어야,False
@yz4939,2025-08-18T14:05:55Z,0,"저노므정권에서는  사람을  볼수가  없다.   전부  개들뿐인듯,   똥을  묻히고  묻힌  개들.<br>그  개들이  짖으니까   모든  기관들이  슬슬  기기  바쁘다.",False
@billiejean_is_not_my_lover,2025-08-18T14:05:50Z,0,이제 김은혜가 감옥가야한다는 데에 동의하시는 분은 추천 바랍니다.,False
@dkhyanggi,2025-08-18T14:05:29Z,1,네 주둥이가 위험에 빠뜨린거 같은데?😅😅😅😅,False
@쑤기-w4o,2025-08-18T14:03:40Z,0,윤씨 돈으로 소송하지?거짓말도사,False
@박성민-g3j2p,2025-08-18T14:02:48Z,0,생긴대로 논다<br>강훈인가지 몬지,False
@newbiikim2005,2025-08-18T14:01:31Z,0,10썩열 하는짓이 그렇지 요즘2찍들 하는짓이랑 똑같음,False
@박성민-g3j2p,2025-08-18T14:00:36Z,0,모지리,False
@우째이런일이-d3l,2025-08-18T13:58:45Z,0,관련자 모두 처벌해야합니다,False
@leelee-h2f,2025-08-18T13:57:13Z,0,정성을 다하는 국민의 방송 MBC 문화방송.,False
@독도는Korea,2025-08-18T13:57:04Z,0,전국민 듣기평가 귀머거리 만든 내란당 해체하고 사법부 징계하라,False
@Enrehfdl,2025-08-18T13:55:12Z,0,&quot;김은혜 털면 뭐든 나온다&quot;에 1표,False
@yeunggyeungbang5093,2025-08-18T13:53:27Z,0,"MBC는 관련자 반드시 소송해서 승소하셨으면 좋겠습니다.<br>손해배상, 명예회복 모두.",False
@호이-k7m,2025-08-18T13:52:01Z,0,본인이 말실수해놓고 책임을딴데로넘기는행위는정말비겁한넘 이다!!!!!!,False
@musso290sr,2025-08-18T13:51:40Z,0,도리도리 ㅋㅋ,False
@jch-w8q,2025-08-18T13:50:29Z,0,MBC의반격  이제 그들에게 금융치료 구상권 청구해라,False
